WigleWifi-1.4,appRelease=2.25,model=ONEPLUS A3003,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3003_28_171012,board=QC_Reference_Phone,brand=OnePlus,,,
88:28:b3:8a:1e:3f,Partner-4G-1E3F,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-87,32.09048524,34.87696121,52,13.65299988,WIFI
d0:d4:12:5f:e5:b2,Tina,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-90,32.09048524,34.87696121,52,13.65299988,WIFI
08:6a:0a:22:4d:25,Glenda,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-72,32.09048524,34.87696121,52,13.65299988,WIFI
a0:ab:1b:5d:4f:10,mherab,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-73,32.09048524,34.87696121,52,13.65299988,WIFI
6a:ab:1b:5d:4f:11,Bezeq Free,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-74,32.09048524,34.87696121,52,13.65299988,WIFI
c4:12:f5:f6:7c:0a,Nirman,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-77,32.09048524,34.87696121,52,13.65299988,WIFI
14:ae:db:52:9e:45,Dimitry26,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-78,32.09048524,34.87696121,52,13.65299988,WIFI
e8:d1:1b:73:52:f9,HOTBOX-52F3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-78,32.09048524,34.87696121,52,13.65299988,WIFI
00:78:9e:fb:85:8e,Anatoliy,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-79,32.09048524,34.87696121,52,13.65299988,WIFI
6a:12:f5:f6:7c:0b,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-79,32.09048524,34.87696121,52,13.65299988,WIFI
00:21:04:e7:70:ca,pninat-hashen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,6,-82,32.09048524,34.87696121,52,13.65299988,WIFI
d8:fb:5e:87:63:08,HOTFiber-12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-82,32.09048524,34.87696121,52,13.65299988,WIFI
d0:0e:d9:27:73:53,Rivka,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,8,-87,32.09048524,34.87696121,52,13.65299988,WIFI
14:ae:db:48:d8:7d,Dery's,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-83,32.09048524,34.87696121,52,13.65299988,WIFI
14:ae:db:c4:94:8a,dudi,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-84,32.09048524,34.87696121,52,13.65299988,WIFI
62:12:f5:fe:f8:d1,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-86,32.09048524,34.87696121,52,13.65299988,WIFI
14:ae:db:42:e1:fd,shmuel1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,6,-86,32.09048524,34.87696121,52,13.65299988,WIFI
60:e3:27:6c:94:a6,TP-LINK_6C94A6,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-87,32.09048524,34.87696121,52,13.65299988,WIFI
c0:ac:54:f8:36:b3,HOTBOX-3D8C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,6,-90,32.09048524,34.87696121,52,13.65299988,WIFI
42501_10221_1480505,Partner,HSDPA;il,28/10/2017 20:11,0,-73,32.09048524,34.87696121,52,13.65299988,GSM
42501_10221_1480509,Partner,HSDPA;il,28/10/2017 20:11,0,-73,32.09050935,34.87681355,53,13.65299988,GSM
60:e3:27:6c:94:a6,TP-LINK_6C94A6,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-79,32.09052945,34.87665276,53,13.65299988,WIFI
14:ae:db:32:bc:da,jony,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-74,32.09052945,34.87665276,53,13.65299988,WIFI
14:af:db:32:bc:da,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-77,32.09052945,34.87665276,53,13.65299988,WIFI
14:ae:db:32:bc:dd,jony_5,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-86,32.09052945,34.87665276,53,13.65299988,WIFI
d0:d4:12:5e:73:e2,tiram,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-79,32.09052945,34.87665276,53,13.65299988,WIFI
f8:e9:03:14:70:c2,itzhakm-5,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-87,32.09052945,34.87665276,53,13.65299988,WIFI
3c:1e:04:04:cf:53,Mariano2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,9,-81,32.09052945,34.87665276,53,13.65299988,WIFI
14:ae:db:b6:8d:b5,Yair,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-82,32.09052945,34.87665276,53,13.65299988,WIFI
10:5a:f7:08:7b:35,avi_2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-83,32.09052945,34.87665276,53,13.65299988,WIFI
06:ae:db:b6:8d:b5,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-83,32.09052945,34.87665276,53,13.65299988,WIFI
30:e1:71:fb:82:81,DIRECT-80-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,9,-87,32.09052945,34.87665276,53,13.65299988,WIFI
d8:fb:5e:f5:8e:53,Luli ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,13,-87,32.09052945,34.87665276,53,13.65299988,WIFI
c4:12:f5:fe:67:9e,x018_367790,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-88,32.09052945,34.87665276,53,13.65299988,WIFI
f8:e9:03:14:70:c1,itzhakm,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,9,-88,32.09052945,34.87665276,53,13.65299988,WIFI
c4:12:f5:fe:f8:d0,leana24,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-90,32.09052945,34.87665276,53,13.65299988,WIFI
c4:a8:1d:15:5c:22,pukas2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-90,32.09052945,34.87665276,53,13.65299988,WIFI
c4:12:f5:f7:4a:40,Ness,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,8,-87,32.09067595,34.87591729,51,15.17000008,WIFI
cc:b2:55:e9:cb:fc,Bezeq-NGN_E9CBFB,[ESS],28/10/2017 20:11,6,-84,32.09067595,34.87591729,51,15.17000008,WIFI
c0:ac:54:f5:b5:7b,ester10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-81,32.09067595,34.87591729,51,15.17000008,WIFI
90:8d:78:54:df:51,Gorge 2.4 G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,5,-84,32.09067595,34.87591729,51,15.17000008,WIFI
10:be:f5:3c:a7:b4,Solomon,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,3,-79,32.09067595,34.87591729,51,15.17000008,WIFI
d4:7b:b0:79:ca:1e,HOTBOX-Tatyana,[ESS],28/10/2017 20:11,1,-81,32.09067595,34.87591729,51,15.17000008,WIFI
80:1f:02:e3:9a:4b,Bobrov,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,8,-79,32.09067595,34.87591729,51,15.17000008,WIFI
90:8d:78:54:df:50,Gorge 5G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-88,32.09067595,34.87591729,51,15.17000008,WIFI
40:65:a3:23:a1:04,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-82,32.09067595,34.87591729,51,15.17000008,WIFI
30:b5:c2:fe:c6:d9,TP-LINK_2.4GHz_FEC6D9,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,6,-87,32.09067595,34.87591729,51,15.17000008,WIFI
c0:ac:54:f8:09:e4,HOTBOX-3304,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-84,32.09067595,34.87591729,51,15.17000008,WIFI
18:a6:f7:8e:1c:5a,Censureded,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-84,32.09067595,34.87591729,51,15.17000008,WIFI
c0:d9:62:f4:fa:de,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-85,32.09067595,34.87591729,51,15.17000008,WIFI
88:28:b3:8a:1e:3f,Partner-4G-1E3F,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-87,32.09067595,34.87591729,51,15.17000008,WIFI
d0:d4:12:5f:e5:b2,Tina,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-90,32.09067595,34.87591729,51,15.17000008,WIFI
08:6a:0a:22:4d:25,Glenda,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-72,32.09067595,34.87591729,51,15.17000008,WIFI
a0:ab:1b:5d:4f:10,mherab,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-73,32.09067595,34.87591729,51,15.17000008,WIFI
6a:ab:1b:5d:4f:11,Bezeq Free,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-74,32.09067595,34.87591729,51,15.17000008,WIFI
c4:12:f5:f6:7c:0a,Nirman,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-77,32.09067595,34.87591729,51,15.17000008,WIFI
14:ae:db:52:9e:45,Dimitry26,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-78,32.09067595,34.87591729,51,15.17000008,WIFI
e8:d1:1b:73:52:f9,HOTBOX-52F3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-78,32.09067595,34.87591729,51,15.17000008,WIFI
00:78:9e:fb:85:8e,Anatoliy,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-76,32.09067595,34.87591729,51,15.17000008,WIFI
6a:12:f5:f6:7c:0b,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-79,32.09067595,34.87591729,51,15.17000008,WIFI
00:21:04:e7:70:ca,pninat-hashen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,6,-82,32.09067595,34.87591729,51,15.17000008,WIFI
d8:fb:5e:87:63:08,HOTFiber-12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-82,32.09067595,34.87591729,51,15.17000008,WIFI
d0:0e:d9:27:73:53,Rivka,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,8,-87,32.09067595,34.87591729,51,15.17000008,WIFI
14:ae:db:48:d8:7d,Dery's,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-83,32.09067595,34.87591729,51,15.17000008,WIFI
14:ae:db:c4:94:8a,dudi,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-84,32.09067595,34.87591729,51,15.17000008,WIFI
62:12:f5:fe:f8:d1,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-91,32.09067595,34.87591729,51,15.17000008,WIFI
14:ae:db:42:e1:fd,shmuel1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,6,-86,32.09067595,34.87591729,51,15.17000008,WIFI
c0:ac:54:f8:36:b3,HOTBOX-3D8C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,6,-86,32.09067595,34.87591729,51,15.17000008,WIFI
14:ae:db:49:5e:cd,328933171,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-82,32.09067595,34.87591729,51,15.17000008,WIFI
06:ae:db:49:5e:cd,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-86,32.09067595,34.87591729,51,15.17000008,WIFI
40:65:a3:24:ee:97,Moshe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-86,32.09067595,34.87591729,51,15.17000008,WIFI
a4:2b:8c:97:11:cb,Eran,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,1,-86,32.09067595,34.87591729,51,15.17000008,WIFI
60:e3:27:6c:94:a6,TP-LINK_6C94A6,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-79,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:32:bc:da,jony,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-74,32.09076483,34.8751963,52,15.17000008,WIFI
14:af:db:32:bc:da,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-77,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:32:bc:dd,jony_5,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-86,32.09076483,34.8751963,52,15.17000008,WIFI
d0:d4:12:5e:73:e2,tiram,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-79,32.09076483,34.8751963,52,15.17000008,WIFI
f8:e9:03:14:70:c2,itzhakm-5,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-87,32.09076483,34.8751963,52,15.17000008,WIFI
3c:1e:04:04:cf:53,Mariano2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,9,-81,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:b6:8d:b5,Yair,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-82,32.09076483,34.8751963,52,15.17000008,WIFI
10:5a:f7:08:7b:35,avi_2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-83,32.09076483,34.8751963,52,15.17000008,WIFI
06:ae:db:b6:8d:b5,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-84,32.09076483,34.8751963,52,15.17000008,WIFI
30:e1:71:fb:82:81,DIRECT-80-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,9,-87,32.09076483,34.8751963,52,15.17000008,WIFI
d8:fb:5e:f5:8e:53,Luli ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,13,-87,32.09076483,34.8751963,52,15.17000008,WIFI
c4:12:f5:fe:67:9e,x018_367790,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-88,32.09076483,34.8751963,52,15.17000008,WIFI
f8:e9:03:14:70:c1,itzhakm,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,9,-88,32.09076483,34.8751963,52,15.17000008,WIFI
c4:12:f5:fe:f8:d0,leana24,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-90,32.09076483,34.8751963,52,15.17000008,WIFI
c4:a8:1d:15:5c:22,pukas2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,1,-90,32.09076483,34.8751963,52,15.17000008,WIFI
06:ae:db:49:01:35,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-81,32.09076483,34.8751963,52,15.17000008,WIFI
64:70:02:57:c8:26,Yakov,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-81,32.09076483,34.8751963,52,15.17000008,WIFI
48:ee:0c:3e:9c:cd,Daniel,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,3,-87,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:49:01:35,Ilana,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-83,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:4d:2b:35,Shilat15,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,9,-83,32.09076483,34.8751963,52,15.17000008,WIFI
fc:b4:e6:d0:07:f3,Tamir_E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-86,32.09076483,34.8751963,52,15.17000008,WIFI
14:ae:db:52:89:75,elad-k,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-86,32.09076483,34.8751963,52,15.17000008,WIFI
e8:fc:af:95:43:1d,jt255,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,1,-86,32.09076483,34.8751963,52,15.17000008,WIFI
c0:ac:54:f6:2e:e8,Orit,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-88,32.09076483,34.8751963,52,15.17000008,WIFI
7c:b7:33:ea:b7:97,HOTFiber-6F5B,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,6,-90,32.09076483,34.8751963,52,15.17000008,WIFI
6c:2e:85:fe:b6:d1,HOTBOX-5890,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-94,32.09076483,34.8751963,52,15.17000008,WIFI
42501_10221_1480509,Partner,HSDPA;il,28/10/2017 20:11,0,-83,32.09076483,34.8751963,52,15.17000008,GSM
c4:12:f5:f7:4a:40,Ness,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,8,-87,32.09084613,34.87454983,54,13.65299988,WIFI
cc:b2:55:e9:cb:fc,Bezeq-NGN_E9CBFB,[ESS],28/10/2017 20:11,6,-84,32.09084613,34.87454983,54,13.65299988,WIFI
c0:ac:54:f5:b5:7b,ester10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-81,32.09084613,34.87454983,54,13.65299988,WIFI
90:8d:78:54:df:51,Gorge 2.4 G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,5,-84,32.09084613,34.87454983,54,13.65299988,WIFI
10:be:f5:3c:a7:b4,Solomon,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,3,-79,32.09084613,34.87454983,54,13.65299988,WIFI
d4:7b:b0:79:ca:1e,HOTBOX-Tatyana,[ESS],28/10/2017 20:11,1,-81,32.09084613,34.87454983,54,13.65299988,WIFI
80:1f:02:e3:9a:4b,Bobrov,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,8,-79,32.09084613,34.87454983,54,13.65299988,WIFI
90:8d:78:54:df:50,Gorge 5G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-88,32.09084613,34.87454983,54,13.65299988,WIFI
